prev_tool,next_tool,lag,count
mcp__p67cee4__get_merge_request_discussions,mcp__p67cee4__get_merge_request_pipeline,1,8
AskUserQuestion,EnterPlanMode,1,8
ToolSearch,mcp__p67cee4__get_messenger_chats,1,8
mcp__p7cbdd1__browser_snapshot,mcp__p7cbdd1__browser_type,1,8
AskUserQuestion,TaskCreate,1,8
KillShell,Bash,1,8
Glob,ToolSearch,1,8
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_navigate,1,8
mcp__pf3c76d__get_project_info,Grep,1,8
Grep,mcp__pf3c76d__create_issue,1,8
mcp__pf3c76d__get_merge_request_discussions,mcp__pf3c76d__get_branch_pipeline,1,8
Bash,mcp__p5ee74d__get_issue,1,8
mcp__pd16dd1__create_issue_comment,Bash,1,8
TodoWrite,mcp__pd16dd1__create_issue_comment,1,8
mcp__pd16dd1__get_issue_comments,mcp__pd16dd1__get_issue_relations,1,8
mcp__pd16dd1__get_merge_request_pipeline,mcp__pd16dd1__create_merge_request_comment,1,8
Bash,mcp__pd16dd1__get_issue,1,8
mcp__pf3c76d__get_epics,Read,1,8
mcp__pf3c76d__get_issues,mcp__pf3c76d__get_issue_relations,1,8
TodoWrite,Skill,1,8
mcp__pf3c76d__get_issue,ToolSearch,1,8
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_fill_form,1,8
mcp__pd16dd1__get_merge_request_discussions,mcp__pd16dd1__get_merge_request_diffs,1,8
Read,mcp__pd16dd1__get_merge_request_discussions,1,8
mcp__pd16dd1__get_issue_comments,TodoWrite,1,8
mcp__pd16dd1__get_issues,AskUserQuestion,1,8
mcp__pf3c76d__create_issue,mcp__pf3c76d__get_issues,1,8
mcp__pf3c76d__create_merge_request_comment,Read,1,8
mcp__pf3c76d__get_branch_pipeline,Agent,1,8
mcp__pf3c76d__update_issue,TaskUpdate,1,8
mcp__pf3c76d__get_merge_request_diffs,ToolSearch,1,8
mcp__pd16dd1__get_issues,Bash,1,8
Bash,mcp__pd16dd1__get_issues,1,8
mcp__p5ee74d__get_merge_request_discussions,mcp__p5ee74d__get_branch_pipeline,1,8
mcp__pd16dd1__get_epics,mcp__pd16dd1__get_issues,1,8
mcp__pd16dd1__get_issues,mcp__pd16dd1__link_issues,1,8
mcp__pd16dd1__get_issues,mcp__pd16dd1__update_issue,1,8
mcp__pcd9e51__create_issue,TodoWrite,1,8
mcp__pd16dd1__get_issue,mcp__pd16dd1__update_issue,1,8
mcp__p9e58dc__list_knowledge_base_pages,mcp__p9e58dc__get_knowledge_base_spaces,1,8
mcp__p9e58dc__get_knowledge_base_spaces,mcp__p9e58dc__create_knowledge_base_page,1,8
mcp__p9e58dc__get_knowledge_base_page,mcp__p9e58dc__create_knowledge_base_page,1,8
mcp__p9e58dc__create_knowledge_base_page,mcp__p9e58dc__update_knowledge_base_page,1,8
mcp__p7cbdd1__browser_network_requests,mcp__p7cbdd1__browser_click,1,8
mcp__pd16dd1__create_merge_request,Read,1,8
mcp__pf3c76d__get_branch_pipeline,Grep,1,8
mcp__p3b05f5__get_issues,mcp__p3b05f5__get_issues,1,8
mcp__p7cbdd1__browser_click,Glob,1,8
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_install,1,8
mcp__p7cbdd1__browser_install,mcp__p7cbdd1__browser_navigate,1,8
ToolSearch,mcp__p5ee74d__create_merge_request,1,8
mcp__pf3c76d__get_merge_request_discussions,mcp__pf3c76d__get_merge_request_discussions,1,8
mcp__pd16dd1__create_issue_comment,TaskUpdate,1,8
Bash,mcp__p5ee74d__create_merge_request,1,8
ToolSearch,mcp__pf3c76d__get_meeting_notes,1,8
mcp__pf3c76d__get_meeting_transcript,ToolSearch,1,8
mcp__pd16dd1__create_merge_request_comment,WebFetch,1,8
mcp__pd16dd1__link_issues,mcp__pd16dd1__get_issues,1,8
ToolSearch,mcp__pd16dd1__get_issues,1,8
TaskList,TaskCreate,1,8
mcp__pd16dd1__create_issue_comment,mcp__pd16dd1__update_issue,1,8
mcp__p4368a5__get_project_info,Bash,1,8
ToolSearch,mcp__pf3c76d__search_meeting_notes,1,8
mcp__p5ee74d__update_issue,Edit,1,8
mcp__pd16dd1__get_branch_pipeline,mcp__pd16dd1__get_merge_request_discussions,1,8
mcp__pf3c76d__get_merge_requests,mcp__pf3c76d__get_merge_requests,1,8
mcp__pd16dd1__get_branch_pipeline,mcp__pd16dd1__get_messenger_chats,1,8
mcp__pd16dd1__get_chat_messages,mcp__pd16dd1__get_branch_pipeline,1,8
mcp__pf3c76d__create_issue,Agent,1,8
Bash,mcp__pf3c76d__send_message,1,8
mcp__pf3c76d__get_epics,mcp__pf3c76d__create_issue,1,8
Edit,mcp__p0c7e74__add_issue_comment,1,8
mcp__p5ee74d__get_branch_pipeline,ToolSearch,1,8
WebFetch,Agent,1,8
ToolSearch,TodoWrite,1,8
Bash,mcp__p0f36b0__update_issue,1,8
mcp__p1b45fc__update_sheet_cells,mcp__p1b45fc__read_sheet_data,1,8
mcp__p7cbdd1__browser_snapshot,Grep,1,7
mcp__p67cee4__get_langfuse_traces,mcp__p67cee4__get_langfuse_traces,1,7
Bash,mcp__p67cee4__get_merge_request_discussions,1,7
TodoWrite,mcp__p67cee4__get_merge_request_discussions,1,7
mcp__p7cbdd1__browser_take_screenshot,mcp__p7cbdd1__browser_snapshot,1,7
Monitor,Read,1,7
WebFetch,ToolSearch,1,7
mcp__p67cee4__get_pipeline,Bash,1,7
mcp__p7cbdd1__browser_snapshot,mcp__p7cbdd1__browser_console_messages,1,7
mcp__p7cbdd1__browser_console_messages,Grep,1,7
mcp__p7cbdd1__browser_wait_for,mcp__p7cbdd1__browser_take_screenshot,1,7
TodoWrite,mcp__p67cee4__get_issue,1,7
Glob,WebFetch,1,7
mcp__pf3c76d__get_project_info,ToolSearch,1,7
TaskList,Read,1,7
ToolSearch,mcp__p8bceef__get_issues,1,7
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_close,1,7
AskUserQuestion,Glob,1,7
Monitor,TaskUpdate,1,7
mcp__p7cbdd1__browser_wait_for,TodoWrite,1,7
ExitPlanMode,Task,1,7
ToolSearch,mcp__pd8e750__get_issues,1,7
mcp__p11f8c4__create_knowledge_base_page,TaskUpdate,1,7
Read,mcp__p3a04ae__create_issue,1,7
mcp__p3a04ae__update_issue,Read,1,7
mcp__pd2ddfd__computer,Bash,1,7
mcp__p1b45fc__send_message,mcp__p1b45fc__send_message,1,7
mcp__pf1a3f9__update_sheet_cells,mcp__pf1a3f9__update_sheet_cells,1,6
Agent,Glob,1,6
mcp__pd2ddfd__tabs_context_mcp,ToolSearch,1,6
mcp__p67cee4__update_issue,ToolSearch,1,6
ToolSearch,mcp__p67cee4__get_pipeline,1,6
mcp__p67cee4__create_issue,ToolSearch,1,6
Bash,mcp__p67cee4__create_issue,1,6
TodoWrite,mcp__p67cee4__create_merge_request_comment,1,6
ToolSearch,mcp__p891dec__get_meeting_transcript,1,6
TodoWrite,mcp__p7cbdd1__browser_close,1,6
Read,mcp__p7cbdd1__browser_snapshot,1,6
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_press_key,1,6
mcp__p7cbdd1__browser_network_requests,Grep,1,6
mcp__p7cbdd1__browser_navigate,Grep,1,6
mcp__pf3c76d__get_issues,Grep,1,6
mcp__pf3c76d__get_issue_comments,Bash,1,6
ToolSearch,mcp__p8bceef__get_merge_request,1,6
mcp__pd16dd1__get_merge_request_discussions,mcp__pd16dd1__get_merge_requests,1,6
Read,mcp__pd16dd1__get_merge_request_pipeline,1,6
Task,TaskUpdate,1,6
mcp__pf3c76d__get_merge_requests,mcp__pf3c76d__get_merge_request_discussions,1,6
mcp__pd16dd1__get_epics,Grep,1,6
mcp__pd16dd1__update_issue,Bash,1,6
Read,TaskList,1,6
mcp__pf3c76d__create_issue_comment,Read,1,6
Bash,mcp__pf3c76d__get_merge_request_diffs,1,6
Read,mcp__pf3c76d__get_job_logs,1,6
mcp__pf3c76d__get_job_logs,Edit,1,6
Agent,Skill,1,6
Bash,mcp__pf3c76d__get_issues,1,6
mcp__pf3c76d__get_issues,mcp__pf3c76d__get_merge_requests,1,6
mcp__pf3c76d__update_issue,mcp__pf3c76d__get_issues,1,6
mcp__pd16dd1__get_issues,Task,1,6
Read,mcp__pd16dd1__get_merge_request_diffs,1,6
mcp__pd16dd1__get_merge_request_pipeline,mcp__pd16dd1__get_merge_request_pipeline,1,6
mcp__p7cbdd1__browser_evaluate,mcp__p7cbdd1__browser_evaluate,1,6
Grep,mcp__pd16dd1__get_branch_pipeline,1,6
Grep,mcp__pf3c76d__create_merge_request_comment,1,6
mcp__pf3c76d__get_job_logs,ToolSearch,1,6
mcp__pd16dd1__create_merge_request_comment,mcp__pd16dd1__get_merge_request_discussions,1,6
mcp__pf3c76d__get_issues,Skill,1,6
mcp__pf3c76d__get_merge_request_discussions,TaskCreate,1,6
mcp__p5ee74d__get_merge_requests,mcp__p5ee74d__get_merge_requests,1,6
Bash,mcp__p5ee74d__get_merge_request_discussions,1,6
Bash,mcp__p5ee74d__get_merge_requests,1,6
Read,mcp__pf3c76d__get_branch_pipeline,1,6
mcp__pd16dd1__get_merge_request_pipeline,mcp__pd16dd1__get_issues,1,6
mcp__pd16dd1__send_message,mcp__pd16dd1__send_message,1,6
Bash,mcp__pcd9e51__get_issues,1,6
mcp__pcd9e51__get_issues,Bash,1,6
Edit,Skill,1,6
mcp__pd16dd1__get_epics,mcp__pd16dd1__create_issue,1,6
mcp__pd16dd1__create_issue,mcp__pd16dd1__get_issues,1,6
mcp__pf3c76d__update_issue,TaskCreate,1,6
mcp__pf3c76d__get_pipeline,Grep,1,6
mcp__pd2ddfd__tabs_context_mcp,Read,1,6
ToolSearch,mcp__pf3c76d__get_merge_request_diffs,1,6
mcp__pf3c76d__update_issue,mcp__pf3c76d__get_issue,1,6
mcp__p7cbdd1__browser_wait_for,Edit,1,6
mcp__p7cbdd1__browser_wait_for,Grep,1,6
mcp__p7cbdd1__browser_snapshot,mcp__p7cbdd1__browser_take_screenshot,1,6
mcp__pd16dd1__get_branch_pipeline,Glob,1,6
mcp__pd16dd1__create_merge_request_comment,Grep,1,6
mcp__pd16dd1__get_branch_pipeline,WebFetch,1,6
mcp__p11f8c4__get_meeting_transcript,Read,1,6
Glob,AskUserQuestion,1,6
mcp__pf3c76d__create_issue_comment,Grep,1,6
Write,TaskCreate,1,6
Edit,TaskCreate,1,6
mcp__pd16dd1__get_issues,mcp__pd16dd1__get_meeting_transcript,1,6
mcp__pd16dd1__get_issue_comments,mcp__pd16dd1__get_meeting_transcript,1,6
Read,mcp__pd16dd1__get_issues,1,6
mcp__pd16dd1__create_merge_request_comment,Read,1,6
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_tabs,1,6
mcp__pd16dd1__send_message,mcp__pd16dd1__get_chat_messages,1,6
mcp__pd16dd1__get_chat_messages,mcp__pd16dd1__get_chat_messages,1,6
ToolSearch,mcp__p5ee74d__get_issues,1,6
mcp__p5ee74d__get_issues,mcp__p5ee74d__get_project_info,1,6
mcp__p5ee74d__get_project_info,mcp__p5ee74d__get_epics,1,6
mcp__p5ee74d__get_issue,Bash,1,6
WebSearch,Write,1,6
Bash,mcp__pf3c76d__get_issue,1,6
mcp__pf3c76d__create_issue_comment,Bash,1,6
mcp__p5ee74d__get_meeting_transcript,mcp__p5ee74d__get_meeting_transcript,1,6
mcp__p5ee74d__get_issue,mcp__p5ee74d__update_issue,1,6
mcp__pf3c76d__send_message,Bash,1,6
mcp__pf3c76d__get_merge_request_discussions,Grep,1,6
ToolSearch,mcp__pd16dd1__get_merge_request_discussions,1,6
TodoWrite,ExitPlanMode,1,6
mcp__pd16dd1__get_branch_pipeline,mcp__pd16dd1__get_merge_requests,1,6
Bash,mcp__p8f556d__create_merge_request_comment,1,6
mcp__pd16dd1__update_issue,TaskUpdate,1,6
Bash,mcp__p964188__get_project_info,1,6
TodoWrite,mcp__p964188__get_issues,1,6
mcp__p7cbdd1__browser_tabs,mcp__p7cbdd1__browser_snapshot,1,6
mcp__p964188__create_issue,mcp__p964188__get_issue,1,6
Glob,Agent,1,6
mcp__p5ee74d__get_issue_relations,mcp__p5ee74d__get_issue_comments,1,6
mcp__pf3c76d__search_meeting_notes,mcp__pf3c76d__get_meeting_transcript,1,6
Bash,mcp__p964188__get_issues,1,6
mcp__pd16dd1__get_issue_relations,mcp__pd16dd1__get_issue_relations,1,6
mcp__p964188__update_issue,mcp__p964188__update_issue,1,6
ToolSearch,mcp__p5ee74d__update_issue,1,6
mcp__p5ee74d__get_merge_requests,ToolSearch,1,6
mcp__pd16dd1__create_merge_request,mcp__pd16dd1__get_merge_request_pipeline,1,6
mcp__pd16dd1__get_merge_request_pipeline,Write,1,6
mcp__p0c7e74__add_issue_comment,ToolSearch,1,6
ToolSearch,mcp__p5ee74d__get_branch_pipeline,1,6
ToolSearch,mcp__p5ee74d__get_merge_requests,1,6
TodoWrite,mcp__pd16dd1__get_meeting_transcript,1,6
Bash,mcp__p9846af__create_merge_request,1,6
mcp__p9846af__get_merge_request_discussions,mcp__p9846af__get_merge_request_discussions,1,6
mcp__pd8e750__get_merge_request_discussions,mcp__pd8e750__get_pipeline,1,6
Bash,mcp__pd8e750__create_merge_request_comment,1,6
mcp__p11f8c4__create_issue,mcp__p11f8c4__create_issue,1,6
mcp__p11f8c4__get_meeting_transcript,mcp__p11f8c4__create_knowledge_base_page,1,6
Write,WebFetch,1,6
mcp__p3a04ae__create_issue,ToolSearch,1,6
mcp__p3a04ae__create_issue_comment,mcp__p3a04ae__create_issue,1,6
Edit,mcp__p3a04ae__create_issue,1,6
mcp__p3a04ae__update_issue,ToolSearch,1,6
ToolSearch,mcp__p0f36b0__create_issue,1,6
mcp__pf1a3f9__create_issue,mcp__pf1a3f9__create_issue,1,5
mcp__p67cee4__search_meeting_notes,mcp__p67cee4__get_meeting_transcript,1,5
ToolSearch,mcp__p67cee4__get_issues,1,5
mcp__pf1a3f9__get_merge_request_diffs,mcp__pf1a3f9__get_merge_request_diffs,1,5
ToolSearch,mcp__p67cee4__get_issue,1,5
Bash,mcp__p67cee4__get_issue,1,5
mcp__p67cee4__get_meeting_transcript,mcp__p67cee4__get_messenger_chats,1,5
Read,TaskOutput,1,5
mcp__p67cee4__get_merge_request_discussions,Read,1,5
mcp__pf24c07__search_chat_messages,mcp__pf24c07__search_chat_messages,1,5
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_type,1,5
Bash,mcp__p7cbdd1__browser_take_screenshot,1,5
Bash,mcp__p67cee4__get_pipeline,1,5
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_evaluate,1,5
Bash,KillShell,1,5
mcp__p7cbdd1__browser_press_key,mcp__p7cbdd1__browser_take_screenshot,1,5
mcp__p7cbdd1__browser_take_screenshot,Bash,1,5
mcp__p7cbdd1__browser_evaluate,mcp__p7cbdd1__browser_run_code,1,5
mcp__p7cbdd1__browser_run_code,Bash,1,5
mcp__p7cbdd1__browser_wait_for,mcp__p7cbdd1__browser_console_messages,1,5
Bash,mcp__p7cbdd1__browser_close,1,5
mcp__p67cee4__get_issue,Grep,1,5
AskUserQuestion,ExitPlanMode,1,5
mcp__p8bceef__get_issues,ToolSearch,1,5
ExitPlanMode,Skill,1,5
TaskUpdate,EnterPlanMode,1,5
TodoWrite,WebFetch,1,5
TaskCreate,Glob,1,5
TaskCreate,Write,1,5
mcp__p7cbdd1__browser_evaluate,mcp__p7cbdd1__browser_navigate,1,5
Grep,EnterPlanMode,1,5
WebSearch,AskUserQuestion,1,5
Read,mcp__p7cbdd1__browser_click,1,5
mcp__p8f556d__get_pipeline,Bash,1,5
mcp__p325230__create_merge_request_comment,mcp__p325230__create_merge_request_comment,1,5
mcp__p7cbdd1__browser_press_key,mcp__p7cbdd1__browser_wait_for,1,5
ExitPlanMode,Glob,1,5
ToolSearch,mcp__p0c7e74__get_issues,1,5
ToolSearch,mcp__p0c7e74__add_issue_comment,1,5
mcp__p0c7e74__add_issue_comment,mcp__p0c7e74__add_issue_comment,1,5
Bash,mcp__pd8e750__get_pipeline,1,5
mcp__pd8e750__get_pipeline,Bash,1,5
mcp__p11f8c4__update_sheet_cells,TodoWrite,1,5
TaskUpdate,mcp__p11f8c4__get_meeting_transcript,1,5
ToolSearch,mcp__p3a04ae__create_epic,1,5
mcp__p3a04ae__create_epic,mcp__p3a04ae__create_issue,1,5
Write,WebSearch,1,5
mcp__p3a04ae__create_issue,Write,1,5
ToolSearch,mcp__p3a04ae__create_issue_comment,1,5
mcp__p3a04ae__add_issue_comment,mcp__p3a04ae__update_issue,1,5
mcp__p3a04ae__update_issue,mcp__p3a04ae__add_issue_comment,1,5
mcp__p3a04ae__get_issues,mcp__p3a04ae__get_issues,1,5
mcp__p7cbdd1__browser_press_key,mcp__p7cbdd1__browser_snapshot,1,5
TaskUpdate,mcp__p1b45fc__update_sheet_cells,1,5
mcp__p1b45fc__read_sheet_data,mcp__p1b45fc__update_sheet_cells,1,5
Bash,Bash,2,76943
Read,Read,2,20606
Bash,Read,2,12546
Edit,Edit,2,12453
Read,Bash,2,11905
Edit,Bash,2,9365
Read,Edit,2,6948
Bash,Edit,2,5623
Grep,Read,2,5267
Grep,Grep,2,4886
Read,Grep,2,4768
Edit,Read,2,4102
Bash,Grep,2,3112
Glob,Read,2,2714
Grep,Bash,2,2624
Grep,Edit,2,2220
Write,Write,2,2163
Bash,TaskUpdate,2,1872
TaskCreate,TaskCreate,2,1733
Edit,Grep,2,1701
Bash,Write,2,1672
Write,Bash,2,1638
TaskUpdate,Bash,2,1614
Read,Glob,2,1571
Glob,Glob,2,1444
Write,Edit,2,1172
Edit,TaskUpdate,2,1157
Read,Write,2,1069
TaskUpdate,Read,2,981
TaskUpdate,Edit,2,952
WebFetch,WebFetch,2,899
WebSearch,WebSearch,2,894
Bash,ToolSearch,2,875
TaskUpdate,TaskUpdate,2,860
TodoWrite,Bash,2,858
Bash,TodoWrite,2,827
Glob,Bash,2,804
Glob,Grep,2,721
Bash,Glob,2,709
Write,Read,2,683
Read,TodoWrite,2,584
Grep,Glob,2,557
TodoWrite,Read,2,535
Edit,Write,2,519
Edit,TodoWrite,2,514
Bash,Agent,2,508
TodoWrite,Edit,2,495
TaskCreate,TaskUpdate,2,495
ToolSearch,Bash,2,483
mcp__p891dec__get_meeting_transcript,mcp__p891dec__get_meeting_transcript,2,442
TodoWrite,TodoWrite,2,440
TaskUpdate,Write,2,393
Bash,TaskCreate,2,382
Agent,Bash,2,362
WebSearch,WebFetch,2,351
Write,TaskUpdate,2,335
ToolSearch,ToolSearch,2,332
Read,TaskUpdate,2,332
Bash,WebFetch,2,266
WebFetch,WebSearch,2,260
Agent,Read,2,248
TaskUpdate,Grep,2,248
WebFetch,Bash,2,245
Task,Read,2,237
mcp__pd16dd1__get_meeting_transcript,mcp__pd16dd1__get_meeting_transcript,2,236
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_click,2,232
Grep,Write,2,227
Bash,mcp__pd16dd1__get_branch_pipeline,2,220
mcp__pf3c76d__get_branch_pipeline,mcp__pf3c76d__get_branch_pipeline,2,200
Edit,Glob,2,183
TaskOutput,Bash,2,180
TaskCreate,Read,2,180
Bash,mcp__p7cbdd1__browser_navigate,2,178
Bash,TaskOutput,2,168
ToolSearch,Read,2,164
Bash,WebSearch,2,162
Glob,Edit,2,161
mcp__pd16dd1__get_branch_pipeline,mcp__pd16dd1__get_branch_pipeline,2,160
Bash,AskUserQuestion,2,157
Agent,Agent,2,156
Bash,Task,2,156
TaskCreate,Bash,2,155
Read,ToolSearch,2,149
Write,TodoWrite,2,144
Read,TaskCreate,2,144
mcp__pf3c76d__create_merge_request_comment,mcp__pf3c76d__create_merge_request_comment,2,144
Bash,mcp__pf3c76d__create_merge_request,2,142
ToolSearch,TaskCreate,2,136
mcp__pd16dd1__create_merge_request_comment,mcp__pd16dd1__create_merge_request_comment,2,136
TodoWrite,Write,2,133
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_click,2,132
Write,Grep,2,132
Read,ExitPlanMode,2,130
Bash,mcp__pf3c76d__get_pipeline,2,127
TodoWrite,Glob,2,126
Grep,TaskUpdate,2,126
Bash,mcp__pd16dd1__get_merge_request_discussions,2,126
Bash,mcp__pf3c76d__get_branch_pipeline,2,124
Bash,mcp__pd16dd1__create_merge_request_comment,2,122
Glob,Write,2,121
Grep,TodoWrite,2,118
TodoWrite,Grep,2,115
Bash,mcp__pd16dd1__create_merge_request,2,114
mcp__pf3c76d__get_pipeline,Bash,2,113
Read,Agent,2,112
mcp__pd16dd1__get_branch_pipeline,Bash,2,112
AskUserQuestion,Bash,2,111
WebSearch,Bash,2,110
mcp__p11f8c4__get_meeting_transcript,mcp__p11f8c4__get_meeting_transcript,2,109
WebFetch,Read,2,108
mcp__p7cbdd1__browser_click,Bash,2,106
Edit,ExitPlanMode,2,106
Agent,Grep,2,105
Task,Task,2,102
ToolSearch,Agent,2,100
ExitPlanMode,Edit,2,98
Skill,Bash,2,97
Edit,Agent,2,95
Monitor,Bash,2,94
ToolSearch,Grep,2,94
Bash,mcp__pf3c76d__get_job_logs,2,92
Read,Task,2,90
Bash,Monitor,2,88
AskUserQuestion,Read,2,86
TaskUpdate,TaskCreate,2,84
mcp__pd16dd1__get_merge_request_pipeline,mcp__pd16dd1__get_merge_request_pipeline,2,84
Agent,ToolSearch,2,83
Grep,ToolSearch,2,83
Bash,Skill,2,83
Bash,mcp__p7cbdd1__browser_wait_for,2,82
Agent,Write,2,79
mcp__p7cbdd1__browser_wait_for,mcp__p7cbdd1__browser_click,2,78
mcp__pd16dd1__get_merge_request_discussions,Read,2,78
mcp__pd16dd1__get_issues,mcp__pd16dd1__get_issues,2,78
Read,AskUserQuestion,2,77
mcp__p7cbdd1__browser_snapshot,mcp__p7cbdd1__browser_click,2,76
Bash,mcp__pd16dd1__get_merge_request_pipeline,2,76
mcp__pd16dd1__get_branch_pipeline,Read,2,76
TaskCreate,ToolSearch,2,75
Bash,mcp__p7cbdd1__browser_snapshot,2,74
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_snapshot,2,73
Task,Bash,2,73
Agent,Edit,2,72
Bash,mcp__pd16dd1__update_issue,2,72
Agent,TaskCreate,2,70
mcp__pf3c76d__get_job_logs,mcp__pf3c76d__get_job_logs,2,68
Bash,mcp__pd16dd1__get_merge_requests,2,68
Read,WebSearch,2,67
mcp__p67cee4__get_meeting_transcript,mcp__p67cee4__get_meeting_transcript,2,66
mcp__pd2ddfd__tabs_context_mcp,Bash,2,66
mcp__pd16dd1__get_merge_request_discussions,mcp__pd16dd1__get_merge_request_discussions,2,66
mcp__p7cbdd1__browser_navigate,Bash,2,65
Edit,ToolSearch,2,65
mcp__pf3c76d__get_issues,mcp__pf3c76d__get_issues,2,65
ToolSearch,WebSearch,2,64
mcp__p11f8c4__update_sheet_cells,mcp__p11f8c4__update_sheet_cells,2,64
Write,ExitPlanMode,2,63
ExitPlanMode,Read,2,63
Bash,mcp__pd2ddfd__tabs_context_mcp,2,62
ScheduleWakeup,Bash,2,62
Bash,mcp__pf3c76d__create_merge_request_comment,2,60
ToolSearch,WebFetch,2,59
TaskCreate,Edit,2,59
Read,WebFetch,2,58
TaskUpdate,Agent,2,58
Bash,mcp__pf3c76d__update_issue,2,58
mcp__pd16dd1__create_merge_request_comment,Bash,2,58
mcp__pf3c76d__create_issue,mcp__pf3c76d__create_issue,2,58
Bash,EnterPlanMode,2,57
WebSearch,Read,2,56
mcp__p3a04ae__create_issue,mcp__p3a04ae__create_issue,2,55
mcp__pd16dd1__get_merge_requests,TodoWrite,2,54
mcp__pd16dd1__create_merge_request_comment,TodoWrite,2,54
mcp__pf3c76d__get_job_logs,Bash,2,54
mcp__pf3c76d__get_branch_pipeline,Bash,2,54
Bash,ScheduleWakeup,2,54
ExitPlanMode,ExitPlanMode,2,54
mcp__pd8e750__update_issue,mcp__pd8e750__update_issue,2,54
ToolSearch,Edit,2,53
WebFetch,Edit,2,53
ToolSearch,mcp__pf3c76d__get_issues,2,53
Write,Glob,2,52
Bash,mcp__pd16dd1__create_issue_comment,2,52
mcp__pd8e750__add_issue_comment,mcp__pd8e750__add_issue_comment,2,52
mcp__p7cbdd1__browser_snapshot,Bash,2,51
TaskUpdate,Glob,2,51
mcp__p7cbdd1__browser_type,mcp__p7cbdd1__browser_click,2,50
mcp__pd16dd1__get_merge_request_pipeline,Bash,2,50
TodoWrite,mcp__pd16dd1__create_merge_request_comment,2,50
Agent,TaskUpdate,2,49
Bash,mcp__p3a04ae__create_issue,2,48
mcp__p3a04ae__create_issue,Bash,2,48
ToolSearch,TaskUpdate,2,46
Glob,TodoWrite,2,46
Task,Write,2,46
mcp__pd16dd1__create_merge_request,TodoWrite,2,46
mcp__p5ee74d__create_issue_comment,mcp__p5ee74d__create_issue_comment,2,46
TaskCreate,Write,2,45
Task,Grep,2,43
mcp__pd16dd1__get_merge_request_discussions,TodoWrite,2,42
Bash,mcp__pf3c76d__get_merge_request_discussions,2,42
mcp__p5ee74d__get_issue,mcp__p5ee74d__get_issue,2,42
Bash,mcp__p67cee4__create_merge_request,2,41
ExitPlanMode,Bash,2,41
mcp__p7cbdd1__browser_click,Grep,2,41
ExitPlanMode,TaskCreate,2,41
Bash,mcp__p7cbdd1__browser_click,2,40
EnterPlanMode,Task,2,40
mcp__pd16dd1__get_issues,mcp__pd16dd1__get_issue_comments,2,40
mcp__pd16dd1__get_issue_relations,Bash,2,40
TodoWrite,mcp__pd16dd1__get_merge_request_discussions,2,40
mcp__pf3c76d__get_branch_pipeline,Read,2,40
Grep,TaskCreate,2,40
mcp__pd16dd1__get_merge_request_discussions,Bash,2,40
mcp__p7cbdd1__browser_navigate,mcp__p7cbdd1__browser_navigate,2,39
Skill,mcp__pf3c76d__get_issues,2,38
mcp__pf3c76d__get_job_logs,Read,2,38
mcp__pd16dd1__update_issue,Read,2,38
mcp__pf3c76d__get_pipeline,mcp__pf3c76d__get_pipeline,2,38
mcp__pf3c76d__update_issue,Bash,2,38
mcp__pd16dd1__update_issue,mcp__pd16dd1__update_issue,2,38
Task,Edit,2,36
mcp__p7cbdd1__browser_click,mcp__p7cbdd1__browser_type,2,36
AskUserQuestion,Edit,2,36
Grep,Agent,2,36
mcp__pd16dd1__get_branch_pipeline,Edit,2,36
mcp__p5ee74d__get_issues,mcp__p5ee74d__get_issues,2,36
Bash,mcp__pd16dd1__get_chat_messages,2,36
mcp__p3a04ae__update_issue,Bash,2,36
TaskUpdate,ToolSearch,2,33
Bash,mcp__pf3c76d__get_merge_requests,2,33
WebSearch,Edit,2,33
EnterPlanMode,Agent,2,32
AskUserQuestion,ExitPlanMode,2,32
mcp__pd16dd1__get_merge_request_pipeline,Read,2,32
mcp__pd16dd1__create_merge_request_comment,mcp__pd16dd1__get_merge_request_discussions,2,32
TodoWrite,mcp__pd16dd1__get_merge_requests,2,32
mcp__pf3c76d__get_merge_request_discussions,Bash,2,32
Edit,WebSearch,2,32
mcp__pf3c76d__update_issue,mcp__pf3c76d__update_issue,2,32
mcp__pcd9e51__update_issue,mcp__pcd9e51__update_issue,2,32
mcp__pd16dd1__create_issue,mcp__pd16dd1__create_issue,2,32
mcp__pd16dd1__get_branch_pipeline,TaskOutput,2,32
mcp__pf3c76d__create_merge_request,Bash,2,32
mcp__p9846af__create_issue,mcp__p9846af__create_issue,2,32
mcp__pd8e750__create_merge_request_comment,mcp__pd8e750__create_merge_request_comment,2,32
mcp__p67cee4__update_sheet_cells,mcp__p67cee4__update_sheet_cells,2,31
Grep,AskUserQuestion,2,31
mcp__pf3c76d__get_issues,Bash,2,31
